,Unnamed: 0,gvkey,deal year,Target name,pdpassgn,patents
21,21,8960,1999,Raychem Corp,10837600.0,"[3959052, 4153747, 4410009, 4647716, 4737600, 4738883, 4804338]"
22,22,9120,1999,RIBI ImmunoChem Research Inc,10763306.0,"[4435386, 4436727, 4436728, 4503048, 4504473, 4505899, 4505900, 4505903, 4520019, 4579945, 4613504, 4629722, 4663306, 4803070, 4806352, 4844894, 4866034, 4877611, 4912094, 4987237, 5286718, 5762943, 6013640, 6113918, 6630161]"
23,23,10010,1999,Stanford Telecommunications Inc,11244642.0,"[4654854, 5041833, 5126682, 5144642, 5283780, 5349608, 5351270, 5365450, 5375140, 5398034, 5412352, 5416799, 5422813, 5459469, 5477195, 5483549, 5510801, 5533023, 5548583, 5553064, 5557641, 5566164, 5570349, 5572216, 5574721, 5577066, 5589834, 5598472, 5604765, 5623487, 5625363, 5630206, 5638361, 5638399, 5640453, 5654955, 5668795, 5687166, 5696762, 5701328, 5717713, 5726893, 5729570, 5734639, 5748610, 5751702, 5764630, 5794119, 5798726, 5809431, 5886989, 5898684, 5909447, 5910777, 5930688, 5938737, 5940446, 5943363, 5953327, 5970092, 5987014, 5991596, 6002721, 6020845, 6034997, 6043918, 6044071, 6049548, 6049576, 6058135, 6075781, 6111538, 6151312, 6222828, 6240556, 6282187, 6301482, 6317412, 6339624, 6351503, 6377557, 6396826, 6415131, 6449322, 6563808]"
24,24,10010,1999,Stanford Telecommunications Inc,11915046.0,[5815046]
25,25,10163,1999,Sundstrand Corp,11067936.0,"[3935463, 3975160, 3985467, 3997049, 4066879, 4130374, 4152099, 4227409, 4269573, 4284487, 4457846, 4475813, 4478715, 4512899, 4526507, 4543228, 4601582, 4625197, 4672322, 4747687, 4753581, 4825169, 4875773, 4897023, 4966458, 4967936, 5121061, 5121062, 5201636, 5220283, 5253986, 5383648, 6086340, 6094970, 6129110, 6155136, 6158709, 6210121, 6254351, 6264436, 6283727]"
26,26,10163,1999,Sundstrand Corp,10598849.0,"[4443170, 4453900, 4460322, 4462769, 4498849, 4611976, 4842501]"
27,27,10163,1999,Sundstrand Corp,11128220.0,"[3947078, 4024909, 4142765, 5020566, 5028220, 5096598, 5170059, 5222874, 5246349, 5388967, 5456582, 6048101, 7083393]"
28,28,10163,1999,Sundstrand Corp,10189623.0,[4089623]
29,29,11040,1999,Pharmacia & Upjohn Inc,,
30,30,11058,1999,V Band Corp,11189937.0,[5089937]
31,31,11288,1999,Warner-Lambert Co,11814518.0,"[5314685, 5430148, 5484926, 5498727, 5527829, 5545744, 5574039, 5594139, 5608082, 5610319, 5625061, 5639747, 5639749, 5641771, 5641774, 5646141, 5705647, 5707992, 5714518, 5723607, 5726312, 5739141, 5753653, 5824688, 5827858, 5827859, 5827891, 5831100, 5834467, 5837710, 5846993, 5852043, 5856530, 5859002, 5863950, 5885996, 5925759, 5932595, 5945427, 5952343, 5962487, 5962704, 5962725, 5981748, 5985900, 5998412, 6001851, 6008243, 6018066, 6020371, 6084107, 6117999, 6121468, 6130220, 6133461, 6143744, 6153757, 6162812, 6174915, 6194589, 6197966, 6207670, 6214799, 6218426, 6252085, 6271235, 6280940, 6303786, 6306892, 6316603, 6316625, 6323210, 6331554, 6333416, 6355807, 6362166, 6369226, 6376506, 6392067, 6403799, 6407285, 6462060, 6462069, 6465661, 6469021, 6472534, 6476232, 6495541, 6495699, 6500948, 6512135, 6514997, 6525050, 6525215, 6531452, 6531491, 6534524, 6534530, 6548494, 6555539, 6566363, 6569878, 6596903, 6599738, 6605721, 6610730, 6620828, 6632825, 6635641, 6670167, 6693199, 6720346, 6753416, 6774243, 6784285, 6790612, 6794146, 6833456, 6849721, 6849732, 6849733, 6852711, 6855724, 6869962, 6872745, 6878727, 6884890, 6891044, 6903132, 6906198, 6919461, 6933312, 6953858, 6964957, 6967198, 6974834, 6977302, 6989384, 6995142, 6995171, 7001912, 7008953, 7022846, 7045528, 7045646, 7053107, 7063687, 7070071, 7094909, 7101878, 7109228, 7112603, 7115658, 7125905, 7132533, 7135482, 7138408, 7141581, 7141585, 7141587, 7148226, 7151105]"
32,32,11803,1999,DSP Technology Inc,,
33,33,12537,1999,Market Guide Inc,,
34,34,13096,1999,Nichols Research Corp,11990095.0,"[5557261, 5890095]"
35,35,13308,1999,Agouron Pharmaceuticals Inc,11814518.0,"[5314685, 5430148, 5484926, 5498727, 5527829, 5545744, 5574039, 5594139, 5608082, 5610319, 5625061, 5639747, 5639749, 5641771, 5641774, 5646141, 5705647, 5707992, 5714518, 5723607, 5726312, 5739141, 5753653, 5824688, 5827858, 5827859, 5827891, 5831100, 5834467, 5837710, 5846993, 5852043, 5856530, 5859002, 5863950, 5885996, 5925759, 5932595, 5945427, 5952343, 5962487, 5962704, 5962725, 5981748, 5985900, 5998412, 6001851, 6008243, 6018066, 6020371, 6084107, 6117999, 6121468, 6130220, 6133461, 6143744, 6153757, 6162812, 6174915, 6194589, 6197966, 6207670, 6214799, 6218426, 6252085, 6271235, 6280940, 6303786, 6306892, 6316603, 6316625, 6323210, 6331554, 6333416, 6355807, 6362166, 6369226, 6376506, 6392067, 6403799, 6407285, 6462060, 6462069, 6465661, 6469021, 6472534, 6476232, 6495541, 6495699, 6500948, 6512135, 6514997, 6525050, 6525215, 6531452, 6531491, 6534524, 6534530, 6548494, 6555539, 6566363, 6569878, 6596903, 6599738, 6605721, 6610730, 6620828, 6632825, 6635641, 6670167, 6693199, 6720346, 6753416, 6774243, 6784285, 6790612, 6794146, 6833456, 6849721, 6849732, 6849733, 6852711, 6855724, 6869962, 6872745, 6878727, 6884890, 6891044, 6903132, 6906198, 6919461, 6933312, 6953858, 6964957, 6967198, 6974834, 6977302, 6989384, 6995142, 6995171, 7001912, 7008953, 7022846, 7045528, 7045646, 7053107, 7063687, 7070071, 7094909, 7101878, 7109228, 7112603, 7115658, 7125905, 7132533, 7135482, 7138408, 7141581, 7141585, 7141587, 7148226, 7151105]"
36,36,13315,1999,Sequent Computer Systems Inc,11933337.0,"[5185861, 5261053, 5367647, 5442758, 5608893, 5655122, 5684671, 5727209, 5802578, 5833337, 5852826, 5877938, 5900020, 5916314, 5938765, 5945257, 6041376, 6049853, 6055617]"
37,37,14160,1999,EMCON,11584279.0,"[5372621, 5484279]"
38,38,16419,1999,Brite Voice Systems Inc,12313956.0,[6213956]
39,39,17764,1999,US Bioscience Inc,11057481.0,"[4957481, 5292497, 5424471, 5491135, 5591731, 5716960, 5804571, 5824664, 5846958, 5906984, 5994409, 6017921, 6017922, 6051563]"
40,40,20192,1999,Roberts Pharmaceutical Corp,,
41,41,20903,1999,PulsePoint Communications,13061410.0,[6961410]
42,42,20907,1999,North American Vaccine Inc,11847287.0,"[5425946, 5439808, 5747287, 5866135, 5879686, 6013267, 6153406, 6284884]"
43,43,20969,1999,Texas Micro Inc,11837514.0,"[5737514, 5745672, 5751939, 5787243, 5864657, 5958070]"
44,44,20982,1999,Integrated Systems Inc,10896179.0,"[4796179, 5133045, 5456130, 5612866, 5613419, 5790652, 5884235, 6003077, 6022483]"
45,45,22170,1999,Mosaix Inc,12152685.0,"[5822416, 6052685]"
46,46,23076,1999,Digital Origin Inc,,
47,47,23897,1999,PLATINUM Technology Inc,,
48,48,24093,1999,OpenROUTE Networks Inc,,
49,49,24140,1999,Telident Inc,10891663.0,"[4791663, 5235630, 5347567, 5347568]"
50,50,24338,1999,ThermoTrex Corp,11523803.0,"[5305752, 5365237, 5423803, 5426685, 5499284, 5528043, 5563569, 5594769, 5606589, 5609152, 5627869, 5712890, 5723865, 5729585, 5731585, 5754323, 5796474, 5814235, 5886326, 5886353, 5998794, 5999299, 6005351, 6037908, 6040643, 6057915, 6060839, 6091796, 6098485, 6100639, 6163030, 6208270, 6267771, 6293680]"
51,51,24345,1999,Powerhouse Technologies Inc,11651356.0,"[5551356, 6196143, 6201532]"
52,52,24680,1999,Physician Computer Network Inc,,
53,53,24997,1999,Dames & Moore Group,10249407.0,"[3956059, 3966539, 3967451, 4149407, 5076360, 5480260]"
54,54,25271,1999,Ardent Software Inc,,
55,55,27940,1999,Wall Data Inc,12563459.0,"[5410693, 5548749, 5668964, 5682538, 5717924, 5809297, 5819086, 5819254, 5825356, 5835914, 5968119, 6049832, 6081837, 6122661, 6412009, 6463459, 6638315]"
56,56,28125,1999,NFO Worldwide Inc,,
57,57,29092,1999,Holophane,11378745.0,"[4954935, 5121309, 5174648, 5188453, 5243508, 5278745, 5434765, 5550697, 5588742, 5642266, 5664878, 5704580, 5918970, 6027231, 6132066]"
58,58,29092,1999,Holophane,11504094.0,"[5351174, 5355291, 5404094, 5440466, 5521852, 5521853, 5619077]"
59,59,29350,1999,CMC Industries Inc,,
60,60,29414,1999,Stimsonite Corp,11178538.0,"[5078538, 5156863, 5213872, 5257875, 5277513, 5310436, 5340231, 5403115, 5415911, 5425596, 5605381, 5667334, 5854709, 5928716, 5930041, 5972421, 6012447, 6015214, 6102612]"
61,61,29650,1999,NeXstar Pharmaceuticals Inc,11511947.0,"[4728575, 4769250, 4783220, 4877619, 4935171, 4946683, 4963363, 5008109, 5019369, 5028297, 5089181, 5186941, 5227170, 5258499, 5320906, 5328678, 5411743, 5411947, 5419914, 5435989, 5441745, 5463092, 5484809, 5527538]"
62,62,29879,1999,Metrowerks Corp,12758651.0,"[6658651, 6948164, 6973417]"
63,63,30034,1999,Dialogic Corp,10749384.0,"[4649384, 4736365]"
64,64,30034,1999,Dialogic Corp,12563462.0,[6463462]
65,65,30034,1999,Dialogic Corp,11510542.0,"[4760516, 4849688, 4852149, 4862492, 4932062, 4979214, 5046088, 5161181, 5185786, 5212688, 5218636, 5371787, 5404400, 5410542, 5428662, 5442694, 5450484, 5450485, 5459781, 5604793, 5638436, 5687177, 5701340, 5719919, 5745786, 5764759, 5790642, 5809110, 5881146, 5912950, 5914747, 6064654, 6195348, 6201805, 6208724, 6237047, 6246334, 6266640, 6324263, 6466248, 6487281]"
66,66,30203,1999,Ascend Communications Inc,12091297.0,"[5058133, 5231649, 5850399, 5864559, 5903564, 5905730, 5953314, 5987520, 5991297, 6008995, 6015300, 6032190, 6055575, 6072397, 6078595, 6094685, 6097726, 6192046, 6233243, 6259693, 6320864, 6396838, 6463067, 6553002, 6570854, 6587463, 6667959, 6711153, 6967955]"
67,67,30368,1999,Sparta Pharmaceuticals Inc,,
68,68,30742,1999,SUGEN Inc,11810173.0,"[5602171, 5610173, 5614642, 5650415, 5700823, 5710173, 5721277, 5760066, 5763198, 5763441, 5763470, 5766922, 5773459, 5773476, 5780496, 5783568, 5786488, 5789427, 5792771, 5792783, 5798374, 5804396, 5830648, 5834504, 5837524, 5837815, 5849742, 5880141, 5883110, 5883113, 5883116, 5886020, 5886195, 5891917, 5914343, 5932602, 5935993, 5942385, 5942428, 5958959, 5962312, 5972676, 5981569, 5990141, 6004967, 6051593, 6066463, 6080772, 6090838, 6103728, 6110957, 6114371, 6117673, 6130238, 6133305, 6136581, 6143765, 6147106, 6204267, 6207401, 6225335, 6225346, 6228641, 6235769, 6239161, 6248771, 6313158, 6316429, 6316479, 6316635, 6326469, 6329375, 6331555, 6335356, 6342593, 6350754, 6388063, 6395734, 6465210, 6465507, 6469032, 6482605, 6482848, 6486185, 6495353, 6506578, 6506763, 6514981, 6525072, 6528270, 6531502, 6569868, 6573293, 6576442, 6579897, 6596772, 6596878, 6599902, 6610688, 6635640, 6642232, 6642251, 6649635, 6653308, 6656716, 6656940, 6660763, 6677368, 6680170, 6680335, 6683082, 6689806, 6696448, 6696463, 6696482, 6706709, 6710067, 6716575, 6716870, 6750240, 6777417, 6797725, 6818440, 6841579, 6844177, 6846839, 6849641, 6855730, 6861418, 6861442, 6878733, 6906093, 6908930, 6908984, 6911446, 6987113, 7029912, 7037677, 7037909, 7053086, 7053113, 7053114, 7071332, 7105562, 7109185, 7115710, 7119090, 7119174, 7122548]"
69,69,30750,1999,Firstcom Corp,,
70,70,31319,1999,SunPharm Corp,21986051.0,[5886051]
71,71,31465,1999,Neopath Inc,11738459.0,"[5315700, 5361140, 5499097, 5528703, 5557097, 5566249, 5581631, 5619428, 5621519, 5625706, 5627908, 5638459, 5642433, 5642441, 5647025, 5654535, 5671288, 5677762, 5692066, 5699794, 5710842, 5715326, 5715327, 5740269, 5745601, 5757954, 5760387, 5763871, 5781667, 5787188, 5787189, 5787208, 5790308, 5793969, 5797130, 5799101, 5812692, 5828776, 5841124, 5862265, 5867610, 5875258, 5877489, 5883982, 5892218, 5912699, 5933519, 5937103, 5959726, 5978497, 5978498, 5987158, 5991432, 5991462, 5995680, 6011861, 6148099, 6181811]"
72,72,31586,1999,DSP Communications Inc,,
