,assgn_final,gvkey_final
547,10081713,5980.0
548,10081724,3427.0
549,10081835,10174.0
550,10082042,9411.0
551,10082103,4423.0
552,10082146,8358.0
553,10082239,8681.0
554,10082341,10877.0
555,10082373,30113.0
556,10082579,10873.0
557,10082696,5360.0
558,10082858,9772.0
559,10083166,6384.0
560,10083361,8934.0
561,10083419,6066.0
562,10083769,6285.0
563,10084041,9523.0
564,10084095,1043.0
565,10084298,5418.0
566,10084882,2817.0
567,10084933,10124.0
568,10085100,5878.0
569,10085235,8615.0
570,10085310,10374.0
571,10085511,6033.0
572,10085601,8867.0
573,10085609,8458.0
574,10086084,2403.0
575,10086125,2504.0
576,10086208,10229.0
577,10086233,10215.0
578,10086313,10816.0
579,10086316,7139.0
580,10086368,6685.0
581,10086403,11627.0
582,10086440,3619.0
583,10086624,2403.0
584,10086726,30537.0
585,10086810,11418.0
586,10086868,6774.0
587,10087229,5234.0
588,10087252,5277.0
589,10087396,20362.0
590,10087562,4818.0
591,10087577,10100.0
592,10087620,15172.0
593,10087625,4815.0
594,10087897,8606.0
595,10087926,6104.0
596,10087940,2663.0
597,10088008,6994.0
598,10088587,6403.0
599,10088651,4445.0
600,10088678,5606.0
601,10088746,1330.0
602,10088877,17202.0
603,10089003,8643.0
604,10089075,8717.0
605,10089088,6179.0
606,10089140,1000.0
607,10089238,8071.0
608,10089337,2471.0
609,10089341,6364.0
610,10089470,9508.0
611,10089622,2532.0
612,10089624,4209.0
613,10089793,6063.0
614,10089868,10873.0
615,10089922,15289.0
616,10089937,13469.0
617,10090012,10595.0
618,10090046,4194.0
619,10090156,7260.0
620,10090309,3735.0
621,10090311,2577.0
622,10090588,1308.0
623,10090626,6104.0
624,10090854,11559.0
625,10091215,1663.0
626,10091248,4091.0
627,10091286,1344.0
628,10091619,140760.0
629,10091649,7822.0
630,10091668,9319.0
631,10091788,3154.0
632,10091809,6288.0
633,10091848,4908.0
634,10091905,4321.0
635,10091998,3828.0
636,10092217,30807.0
637,10092463,103159.0
638,10092620,5950.0
639,10092670,13556.0
640,10092697,9442.0
641,10092756,5878.0
642,10092757,6500.0
643,10093305,2751.0
644,10093350,10407.0
645,10093392,10490.0
646,10093523,2314.0
647,10093707,8251.0
648,10093815,1913.0
649,10094016,1300.0
650,10094100,10983.0
651,10094108,29311.0
652,10094243,3946.0
653,10094288,3504.0
654,10094346,9040.0
655,10094350,30098.0
656,10094673,5223.0
657,10094783,2610.0
658,10094795,1789.0
659,10094844,4326.0
660,10095018,8530.0
661,10095387,19661.0
662,10095477,2255.0
663,10095498,8004.0
664,10095722,15277.0
665,10096686,6663.0
666,10096780,4069.0
667,10096832,1609.0
668,10096860,8682.0
669,10096880,1786.0
670,10096921,8530.0
671,10097068,5959.0
672,10097429,8068.0
673,10097682,1643.0
674,10097727,4439.0
675,10097883,7648.0
676,10097938,1922.0
677,10098045,2655.0
678,10098102,7065.0
679,10098135,8247.0
680,10098545,8168.0
681,10098597,126721.0
682,10099284,7243.0
683,10099478,109925.0
684,10099621,6989.0
685,10099634,5758.0
686,10099687,9434.0
687,10099806,7580.0
688,10099918,10588.0
689,10099968,1542.0
690,10100061,2439.0
691,10100186,2234.0
692,10100263,2403.0
693,10100670,6648.0
694,10100674,5455.0
695,10100698,5046.0
696,10100707,25119.0
697,10100770,8479.0
698,10100846,4098.0
699,10101070,7777.0
700,10101126,2787.0
701,10101141,100581.0
702,10101228,102045.0
703,10101403,4060.0
704,10101440,7737.0
705,10101516,19349.0
706,10101751,4321.0
707,10101800,5116.0
708,10101954,5109.0
709,10102000,7636.0
710,10102362,5229.0
711,10102372,5086.0
712,10102410,140760.0
713,10102421,4069.0
714,10102519,9815.0
715,10102525,8463.0
716,10102636,100049.0
717,10102825,7671.0
718,10102837,6127.0
719,10102870,1774.0
720,10103061,9465.0
721,10103298,5195.0
722,10103299,1817.0
723,10103365,9803.0
724,10103469,9009.0
725,10103564,6649.0
726,10103628,11669.0
727,10103652,4505.0
728,10104036,1239.0
729,10104093,61214.0
730,10104207,9399.0
731,10104314,9184.0
732,10104355,6313.0
733,10104399,5568.0
734,10104405,62898.0
735,10104887,10443.0
736,10104904,6038.0
737,10104940,162254.0
738,10105164,2154.0
739,10105257,5278.0
740,10105508,24396.0
741,10105536,7435.0
742,10105582,24110.0
743,10105670,2659.0
744,10105788,8479.0
745,10105804,4321.0
746,10105996,146212.0
747,10106011,2787.0
748,10106146,13436.0
749,10106260,10816.0
750,10106275,5368.0
751,10106573,5762.0
752,10106741,11483.0
753,10107443,10455.0
754,10107597,20362.0
755,10107607,5508.0
756,10107769,4099.0
757,10107775,9114.0
758,10107826,1308.0
759,10107934,9584.0
760,10108197,7658.0
761,10108672,8871.0
762,10109112,11483.0
